epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.8735,1.28205,3.7669,3.35103,1.5322,1,0.01164,0.162,0.08363,1,0.01164,0.12277,0.06121,1.44625,4.30714,3.29393,1.75643,0.000364722,0.000364722,0.000364722
2,86.4038,1.31678,3.17799,2.63184,1.53391,0.28505,0.12616,0.05905,0.03042,0.27417,0.06959,0.03721,0.01749,2.47385,6.12078,5.63663,2.75517,0.000720501,0.000720501,0.000720501
3,129.107,1.30807,3.16149,2.31758,1.52201,0.23373,0.35569,0.17391,0.08137,0.60196,0.08114,0.13753,0.05829,1.76363,4.99256,3.6414,2.14679,0.00106162,0.00106162,0.00106162
4,166.156,1.28873,3.09333,2.13892,1.50076,0.26584,0.33236,0.23542,0.12171,0.25004,0.1552,0.15317,0.0712,1.79008,6.0407,2.80986,2.05828,0.00104501,0.00104501,0.00104501
5,203.375,1.26419,2.98463,2.02937,1.48393,0.30447,0.26277,0.21833,0.12741,0.2136,0.28042,0.16318,0.06186,1.45157,4.0303,2.5235,1.75603,0.00102301,0.00102301,0.00102301
6,241.025,1.2068,2.84406,1.94389,1.45878,0.37075,0.35356,0.34126,0.18071,0.3453,0.32614,0.29619,0.13976,1.59287,4.21419,2.61107,1.90663,0.00100101,0.00100101,0.00100101
7,278.926,1.20909,2.83927,1.88811,1.44896,0.44362,0.43129,0.34625,0.1929,0.52794,0.31829,0.29503,0.14443,1.44195,3.57079,2.36635,1.80536,0.000979013,0.000979013,0.000979013
8,316.438,1.16583,2.63807,1.78343,1.41481,0.40441,0.31965,0.31755,0.17192,0.42199,0.28851,0.27714,0.13933,1.5379,3.44819,2.88612,1.78655,0.000957015,0.000957015,0.000957015
9,356.898,1.13175,2.60462,1.70326,1.38021,0.51581,0.42337,0.43573,0.25159,0.50377,0.3653,0.37583,0.19673,1.39676,3.35836,2.16217,1.75864,0.000935018,0.000935018,0.000935018
10,395.332,1.11813,2.53136,1.65695,1.37274,0.47714,0.40318,0.42517,0.27776,0.43695,0.36545,0.3862,0.21935,1.34676,3.58482,2.09544,1.63523,0.00091302,0.00091302,0.00091302
11,432.764,1.10786,2.49471,1.61667,1.36027,0.4089,0.47289,0.41975,0.24877,0.38112,0.44212,0.37871,0.20473,1.4684,3.24594,1.99696,1.73273,0.000891022,0.000891022,0.000891022
12,469.45,1.05483,2.40107,1.54371,1.33258,0.39956,0.44353,0.41264,0.25909,0.40577,0.42459,0.39336,0.21986,1.4313,3.13022,1.89864,1.67558,0.000869024,0.000869024,0.000869024
13,507.008,1.04841,2.35354,1.49258,1.33356,0.51349,0.45019,0.47837,0.3171,0.50439,0.44666,0.43812,0.25733,1.27718,3.19972,1.92123,1.57695,0.000847026,0.000847026,0.000847026
14,543.804,1.0486,2.37473,1.48439,1.33106,0.55982,0.45996,0.45444,0.2812,0.54495,0.4508,0.43283,0.23622,1.41119,2.92598,1.93806,1.68176,0.000825029,0.000825029,0.000825029
15,583.109,1.02302,2.2559,1.41693,1.29565,0.44833,0.46498,0.44022,0.28336,0.43288,0.44866,0.41416,0.23398,1.3174,3.187,1.9249,1.59009,0.000803031,0.000803031,0.000803031
16,620.641,1.01103,2.24738,1.39401,1.29584,0.5892,0.4179,0.47326,0.3117,0.54574,0.39624,0.42944,0.26181,1.46754,3.16195,1.80406,1.73701,0.000781033,0.000781033,0.000781033
17,657.493,0.96981,2.14807,1.3024,1.26032,0.46138,0.51462,0.48389,0.30677,0.44898,0.50276,0.45263,0.26512,1.3078,2.74898,1.78776,1.61545,0.000759035,0.000759035,0.000759035
18,695.271,0.96572,2.12732,1.29991,1.26533,0.49051,0.39472,0.44765,0.29545,0.38761,0.47901,0.43102,0.25308,1.2756,2.76664,1.8611,1.56464,0.000737037,0.000737037,0.000737037
19,732.257,0.96722,2.10342,1.27253,1.27402,0.55761,0.40578,0.42737,0.27213,0.52622,0.40292,0.41686,0.23853,1.30399,2.90017,1.91988,1.59422,0.00071504,0.00071504,0.00071504
20,769.416,0.96144,2.12513,1.28372,1.26262,0.53246,0.44507,0.46045,0.2868,0.4748,0.42927,0.41497,0.24483,1.37669,2.80533,1.90097,1.62982,0.000693042,0.000693042,0.000693042
21,810.868,0.91548,2.01662,1.19201,1.23094,0.5661,0.47777,0.5056,0.31543,0.5986,0.40413,0.45183,0.24859,1.31741,3.21554,1.68334,1.6312,0.000671044,0.000671044,0.000671044
22,848.096,0.9015,2.0041,1.18085,1.21966,0.51571,0.50776,0.48093,0.30858,0.50214,0.49709,0.45577,0.27338,1.34527,2.72144,1.78171,1.64303,0.000649046,0.000649046,0.000649046
23,885.187,0.89977,1.98072,1.14147,1.2217,0.4632,0.51527,0.44535,0.29509,0.44649,0.48613,0.42209,0.26243,1.30842,2.87956,1.91117,1.63258,0.000627048,0.000627048,0.000627048
24,921.394,0.88901,1.98674,1.14838,1.20683,0.53439,0.48938,0.49936,0.33536,0.5131,0.46936,0.46207,0.29654,1.2577,2.76877,1.63117,1.58715,0.000605051,0.000605051,0.000605051
25,959.103,0.86262,1.91463,1.12713,1.18978,0.53957,0.44868,0.46165,0.29234,0.60386,0.39161,0.44246,0.26314,1.30876,3.14003,1.76873,1.63262,0.000583053,0.000583053,0.000583053
26,996.178,0.86136,1.93354,1.10253,1.19623,0.46236,0.45472,0.48089,0.31362,0.39819,0.55398,0.46638,0.28044,1.29889,2.66403,1.75489,1.58154,0.000561055,0.000561055,0.000561055
27,1038.17,0.85386,1.8521,1.06788,1.18461,0.49785,0.52511,0.45882,0.30339,0.47686,0.50359,0.4374,0.25416,1.27727,2.88556,1.76086,1.57539,0.000539057,0.000539057,0.000539057
28,1075.19,0.85017,1.84941,1.04978,1.17786,0.56638,0.48303,0.47595,0.31314,0.54923,0.5054,0.47307,0.28384,1.28806,2.74375,1.76234,1.55867,0.000517059,0.000517059,0.000517059
29,1112.79,0.83236,1.82724,1.03463,1.17255,0.53835,0.45194,0.49399,0.3293,0.52207,0.43062,0.47016,0.28678,1.24237,2.75196,1.74858,1.55514,0.000495062,0.000495062,0.000495062
30,1150.75,0.8296,1.8026,1.02857,1.17008,0.533,0.44744,0.46215,0.30762,0.54313,0.43264,0.43397,0.25629,1.30404,2.913,1.76484,1.60632,0.000473064,0.000473064,0.000473064
31,1188.96,0.8064,1.75109,0.97602,1.14472,0.62501,0.42533,0.50384,0.34716,0.60806,0.42738,0.47934,0.306,1.19346,2.77823,1.72304,1.50589,0.000451066,0.000451066,0.000451066
32,1227.37,0.79317,1.72589,0.96285,1.14471,0.61952,0.52094,0.54915,0.37185,0.57304,0.48014,0.51152,0.32053,1.24701,2.67113,1.62972,1.54853,0.000429068,0.000429068,0.000429068
33,1267.46,0.78152,1.72444,0.95496,1.13883,0.45496,0.52683,0.47795,0.32724,0.43593,0.50699,0.44847,0.28344,1.25022,2.6951,1.72198,1.57852,0.00040707,0.00040707,0.00040707
34,1308.61,0.77889,1.68792,0.93331,1.13561,0.58648,0.49714,0.50068,0.35115,0.58524,0.48532,0.48149,0.30534,1.19958,2.71007,1.63733,1.50227,0.000385073,0.000385073,0.000385073
35,1347.29,0.75609,1.66201,0.89789,1.11614,0.56389,0.55318,0.52392,0.36797,0.55693,0.54649,0.50971,0.31177,1.23126,2.6542,1.65086,1.56076,0.000363075,0.000363075,0.000363075
36,1385.32,0.75438,1.6745,0.9117,1.11666,0.54785,0.56798,0.51734,0.35203,0.54194,0.53126,0.47892,0.31222,1.21781,2.71629,1.75948,1.5301,0.000341077,0.000341077,0.000341077
37,1422.79,0.7461,1.60841,0.88056,1.11144,0.62888,0.50002,0.5175,0.36155,0.6049,0.47575,0.48781,0.31466,1.18155,2.76189,1.69808,1.54088,0.000319079,0.000319079,0.000319079
38,1460.58,0.73852,1.61369,0.8639,1.1081,0.56529,0.50488,0.50359,0.3562,0.56441,0.50099,0.49177,0.30578,1.22254,2.85928,1.71426,1.57072,0.000297081,0.000297081,0.000297081
39,1499.06,0.73089,1.56451,0.85181,1.09987,0.56021,0.54455,0.51004,0.34774,0.53982,0.52281,0.48362,0.31213,1.21899,2.76021,1.70603,1.54448,0.000275084,0.000275084,0.000275084
40,1539.82,0.71527,1.54357,0.85537,1.09568,0.53585,0.58219,0.5381,0.36426,0.52561,0.56978,0.4994,0.3105,1.234,2.89055,1.58421,1.61966,0.000253086,0.000253086,0.000253086
41,1576.48,0.68116,1.44866,0.8752,1.11974,0.54514,0.52651,0.49697,0.34525,0.52236,0.5082,0.46902,0.30527,1.20291,2.70968,1.61927,1.54622,0.000231088,0.000231088,0.000231088
42,1610.89,0.66202,1.35425,0.77313,1.10669,0.54581,0.47851,0.5083,0.35372,0.60144,0.43583,0.49458,0.31437,1.24813,2.72169,1.69711,1.5778,0.00020909,0.00020909,0.00020909
43,1643.28,0.63255,1.29188,0.72327,1.08343,0.62457,0.54606,0.52801,0.3718,0.60104,0.52058,0.48785,0.31997,1.22336,2.75323,1.676,1.58092,0.000187092,0.000187092,0.000187092
44,1674.8,0.60693,1.23549,0.68755,1.0657,0.5688,0.5695,0.5196,0.36856,0.52916,0.52238,0.47961,0.31148,1.19214,2.69668,1.65573,1.55734,0.000165095,0.000165095,0.000165095
45,1709.03,0.59479,1.21058,0.66075,1.05695,0.61301,0.50929,0.51462,0.35495,0.5591,0.48822,0.48702,0.31578,1.24417,2.95551,1.69148,1.62621,0.000143097,0.000143097,0.000143097
46,1744.89,0.57991,1.19518,0.65336,1.05095,0.59517,0.52907,0.50679,0.36026,0.57475,0.51577,0.48725,0.31153,1.18723,2.67671,1.70441,1.55412,0.000121099,0.000121099,0.000121099
47,1781.09,0.56706,1.16636,0.62267,1.03049,0.6137,0.53368,0.50212,0.35286,0.58662,0.50968,0.47677,0.31053,1.19322,2.68985,1.71917,1.57928,9.91012e-05,9.91012e-05,9.91012e-05
48,1812.1,0.56105,1.16498,0.61412,1.02831,0.60816,0.5337,0.5011,0.35663,0.57286,0.51208,0.48194,0.31655,1.17876,2.72034,1.6626,1.56048,7.71034e-05,7.71034e-05,7.71034e-05
49,1845.15,0.53038,1.10918,0.58579,1.01275,0.60539,0.53487,0.50545,0.35301,0.56606,0.49851,0.467,0.31194,1.21272,2.7669,1.69354,1.59265,5.51056e-05,5.51056e-05,5.51056e-05
50,1879.29,0.53756,1.11101,0.59983,1.02538,0.56958,0.55787,0.51801,0.37003,0.54209,0.53457,0.49573,0.32369,1.19336,2.76254,1.71025,1.57186,3.31078e-05,3.31078e-05,3.31078e-05
